State,Female,Male
Kerala,52,48
Meghalaya,51,49
Dadra and Nagar Haveli,50,50
Puducherry,50,50
Arunachal Pradesh,49,51
Chandigarh,49,51
Chhattisgarh,49,51
Goa,49,51
Manipur,49,51
Mizoram,49,51
Nagaland,49,51
Odisha,49,51
Tamil Nadu,49,51
Tripura,49,51
West Bengal,49,51
Andaman and Nicobar Islands,48,52
Assam,48,52
Bihar,48,52
Delhi,48,52
Gujarat,48,52
Himachal Pradesh,48,52
Jammu and Kashmir,48,52
Jharkhand,48,52
Karnataka,48,52
Lakshadweep,48,52
Madhya Pradesh,48,52
Maharashtra,48,52
Andhra Pradesh,47,53
Daman and Diu,47,53
Punjab,47,53
Rajasthan,47,53
Telangana,47,53
Uttar Pradesh,47,53
Uttarakhand,47,53
Haryana,46,54
Sikkim,46,54
