State,HAZ_SeverarlyStunted,HAZ_ModeratelyStunted,HAZ_Normal
Andaman and Nicobar Islands,109,107,428
Andhra Pradesh,507,564,2057
Arunachal Pradesh,1134,653,3179
Assam,2192,1977,6140
Bihar,8092,5641,11704
Chandigarh,20,41,133
Chhattisgarh,2323,1788,5172
Dadra and Nagar Haveli,94,61,167
Daman and Diu,77,58,272
Delhi,285,242,1053
Goa,65,47,304
Gujarat,1985,1463,4282
Haryana,1878,1366,4638
Himachal Pradesh,503,443,1983
Jammu and Kashmir,1735,1199,5311
Jharkhand,3536,2671,5997
Karnataka,2252,1328,4209
Kerala,334,295,1833
Lakshadweep,33,60,215
Madhya Pradesh,6847,4993,12771
Maharashtra,2218,1775,5408
Manipur,797,1108,3731
Meghalaya,1192,942,2275
Mizoram,934,880,3091
Nagaland,862,711,3034
Odisha,2401,2159,6546
Puducherry,226,158,697
Punjab,809,832,3575
Rajasthan,4203,3272,9357
Sikkim,212,145,648
Tamil Nadu,1738,1142,5042
Telangana,411,406,1610
Tripura,191,202,937
Uttar Pradesh,12306,9201,20244
Uttarakhand,1348,977,3500
West Bengal,913,1083,3332
