State,Female,Male
India,48.4,21
Andhra Pradesh,53.6,17.2
Assam,47.7,17
Bihar,25.2,20.8
Chattisgarh,32.7,23.1
Gujarat,64.3,26.4
Haryana,79.2,21.2
Jharkhand,24.4,29
Karnataka,57.8,26.1
Kerala,98.1,15.7
Madhya Pradesh,33.7,25.8
Maharashtra,51.9,25.6
Odisha,29.4,20.4
Punjab,81.5,15.6
Rajasthan,45,23
Tamil Nadu,52.2,19.7
Telangana,50.2,18
Uttar Pradesh,35,17.9
West Bengal,50.9,20.3
Arunachal Pradesh,61.3,17.3
Delhi,74,17.1
Goa,78.3,21.9
Himachal Pradesh,70.7,13.7
Jammu & Kashmir,52.5,12.1
Manipur,49.9,6.8
Meghalaya,60.3,15.3
Mizoram,83.5,6.1
Nagaland,75.2,11.2
Sikkim,88.2,14.2
Tripura,61.3,16.8
Uttarakhand,64.5,19.5
Andaman and Nicobar Islands,74.3,18.9
Chandigarh,82.9,10.9
Dadra and Nagar Haveli,35.4,27.6
Daman and Diu,60.4,24.1
Lakshadweep,99.4,13.8
Puducherry,65,23.6
